ax,ay,az,gx,gy,gz
8.72,-1.32,4.98,-0.02,0.61,0.16
8.76,-1.01,5.17,-0.00,0.60,0.15
8.47,-0.91,5.35,0.01,0.59,0.15
8.37,-0.96,5.24,0.03,0.59,0.15
8.17,-0.96,5.49,0.05,0.59,0.14
8.42,-1.18,5.68,0.06,0.57,0.14
8.55,-0.93,5.53,0.06,0.55,0.12
8.34,-0.92,5.61,0.05,0.56,0.13
8.20,-0.79,5.66,0.03,0.54,0.12
8.24,-0.62,5.75,0.02,0.54,0.14
8.23,-1.07,5.94,0.03,0.54,0.13
8.21,-1.05,6.33,0.04,0.53,0.12
8.15,-0.94,6.36,0.04,0.50,0.12
8.14,-0.77,6.22,0.02,0.48,0.12
8.01,-0.70,6.28,0.01,0.47,0.13
8.08,-0.66,6.48,-0.00,0.45,0.14
7.85,-0.97,6.69,0.00,0.44,0.14
7.69,-1.10,6.91,0.00,0.42,0.14
7.78,-1.17,6.89,0.02,0.38,0.14
7.90,-1.09,6.59,0.01,0.36,0.13
7.93,-1.24,6.41,0.01,0.36,0.14
7.82,-1.23,6.31,0.01,0.35,0.13
7.74,-1.61,6.52,0.01,0.35,0.12
7.66,-1.40,6.66,0.01,0.33,0.11
7.69,-1.56,6.55,0.02,0.32,0.10
7.64,-1.51,6.22,0.03,0.31,0.08
7.65,-1.21,6.33,0.04,0.32,0.08
7.60,-1.35,6.32,0.02,0.32,0.08
7.67,-1.27,6.39,0.01,0.32,0.07
7.56,-1.23,6.53,0.02,0.32,0.07
7.44,-1.20,6.76,0.03,0.31,0.08
7.30,-1.24,6.89,0.03,0.30,0.08
7.52,-1.20,6.46,0.03,0.30,0.08
7.58,-1.36,6.39,0.02,0.29,0.08
7.54,-1.36,6.27,0.01,0.30,0.07
7.39,-1.52,6.47,0.03,0.31,0.06
7.33,-1.43,6.42,0.03,0.31,0.05
7.26,-1.28,6.56,0.03,0.32,0.04
7.40,-1.08,6.51,0.04,0.32,0.04
7.29,-0.99,6.70,0.04,0.32,0.05
7.25,-0.97,6.85,0.03,0.32,0.06
7.02,-1.18,6.90,0.02,0.31,0.06
7.02,-1.37,6.96,0.02,0.31,0.05
7.15,-1.18,7.02,0.03,0.30,0.04
7.23,-1.33,6.83,0.03,0.30,0.05
7.12,-1.41,6.83,0.03,0.31,0.04
7.04,-1.54,6.77,0.04,0.31,0.04
7.07,-1.30,6.63,0.04,0.32,0.02
7.06,-1.21,7.14,0.03,0.31,0.03
7.00,-1.18,7.21,0.02,0.30,0.02
7.00,-1.30,7.03,-0.00,0.31,0.02
6.84,-1.02,7.19,-0.01,0.31,0.02
6.90,-1.23,7.41,0.00,0.30,0.04
6.88,-1.50,7.50,0.01,0.29,0.01
6.94,-0.96,7.80,0.02,0.26,0.01
6.70,-1.93,7.02,0.04,0.24,0.02
6.83,-1.33,6.92,0.03,0.25,-0.02
6.86,-0.42,7.02,0.00,0.28,0.04
7.07,-1.87,7.04,0.01,0.27,0.01
6.94,-0.88,7.07,0.02,0.28,-0.00
6.52,-1.15,7.75,0.03,0.27,0.02
6.59,-1.00,7.24,0.03,0.27,0.00
6.67,-0.68,7.40,0.03,0.26,0.02
6.73,-1.02,7.04,0.01,0.26,0.02
